WormBase.ID	Public.Gene.Name	Sequence.ID	Affy.Probe.Set.ID
WBGene00019590	K09F6.7	K09F6.7	181412_at
WBGene00019591	fbxc-25	K09F6.8	180984_at
WBGene00010727	K09G1.1	K09G1.1a	187580_s_at
WBGene00010728	K09G1.2	K09G1.2	177687_at
WBGene00001053	dop-2	K09G1.4a	190437_at
WBGene00019599	K09H11.1	K09H11.1	185198_at
NA	K09H11.13	K09H11.2	185050_at
WBGene00019600	rga-3	K09H11.3	185078_at
WBGene00019601	K09H11.4	K09H11.4	185245_at
WBGene00019603	K09H11.6	K09H11.6	185794_at
WBGene00019604	K09H11.7	K09H11.7	190688_s_at
WBGene00019594	K09H9.1	K09H9.1	182326_at
WBGene00019595	K09H9.2	K09H9.2	183811_at
WBGene00000626	col-49	K09H9.3	189762_at
NA	NA	K09H9.4	190408_s_at
WBGene00003062	lpd-6	K09H9.6	173689_s_at
WBGene00019598	K09H9.7	K09H9.7	184157_at
WBGene00045387	K09H9.8	K09H9.8	182339_at
WBGene00003009	lin-23	K10B2.1	174984_at
WBGene00003009	lin-23	K10B2.1	190894_at
WBGene00019605	ctsa-1	K10B2.2a	189861_at
WBGene00019606	clec-88	K10B2.3a	188145_at
WBGene00019606	clec-88	K10B2.3a	188146_s_at
WBGene00019607	K10B2.4	K10B2.4	187451_at
WBGene00019608	ani-2	K10B2.5	174666_at
WBGene00019608	ani-2	K10B2.5	181708_s_at
WBGene00004951	spc-1	K10B3.10a	172983_s_at
WBGene00004951	spc-1	K10B3.10a	173871_at
WBGene00004951	spc-1	K10B3.10a	192356_s_at
WBGene00019609	K10B3.1	K10B3.1a	180934_at
WBGene00019611	K10B3.5	K10B3.5	174537_at
WBGene00019611	K10B3.5	K10B3.5	180687_at
WBGene00019612	gpcp-1	K10B3.6a	173121_s_at
WBGene00019612	gpcp-1	K10B3.6a	173669_s_at
WBGene00001685	gpd-3	K10B3.7	173608_s_at
WBGene00001685	gpd-3	K10B3.7	172697_x_at
NA	NA	K10B3.8	AFFX-r2-18565-3_x_at
NA	NA	K10B3.8	AFFX-r2-18565-5_x_at
WBGene00001684	gpd-2	K10B3.8	194177_x_at
WBGene00003124	mai-1	K10B3.9	175687_at
WBGene00003124	mai-1	K10B3.9	176600_s_at
WBGene00019613	K10B4.1	K10B4.1	188714_at
WBGene00019614	srt-54	K10B4.2	183235_at
WBGene00019615	K10B4.3	K10B4.3	183432_s_at
WBGene00019616	nmur-2	K10B4.4	191971_at
WBGene00005081	srd-3	K10B4.5	189063_at
WBGene00000857	cwn-1	K10B4.6a	188486_s_at
WBGene00019617	K10C2.1	K10C2.1	190815_s_at
WBGene00019618	K10C2.2	K10C2.2	182721_at
WBGene00019619	asp-14	K10C2.3	189595_s_at
WBGene00019620	fah-1	K10C2.4	173405_s_at
WBGene00019620	fah-1	K10C2.4	189995_s_at
WBGene00001715	grl-6	K10C2.5	183124_at
WBGene00019621	K10C2.6	K10C2.6	182566_at
WBGene00019622	K10C2.7	K10C2.7	175458_at
WBGene00010730	ensa-1	K10C3.2	174979_at
WBGene00010730	ensa-1	K10C3.2	191853_at
WBGene00006978	zig-1	K10C3.3	193265_at
WBGene00010731	K10C3.4	K10C3.4a	178257_at
WBGene00010732	K10C3.5	K10C3.5a	191313_at
WBGene00003639	nhr-49	K10C3.6a	174017_at
WBGene00003639	nhr-49	K10C3.6a	194120_at
WBGene00010734	parn-1	K10C8.1	177514_at
WBGene00010735	frpr-15	K10C8.2	191480_at
WBGene00010736	istr-1	K10C8.3a	171906_x_at
WBGene00010736	istr-1	K10C8.3a	191578_s_at
WBGene00019623	K10C9.1	K10C9.1	180104_at
WBGene00019624	K10C9.3	K10C9.3	179880_at
WBGene00019624	K10C9.3	K10C9.3	188846_at
WBGene00019625	K10C9.4	K10C9.4	180207_at
WBGene00006129	str-67	K10C9.6	191152_at
WBGene00019626	K10C9.7	K10C9.7	180639_at
WBGene00006255	str-224	K10C9.8	191268_at
WBGene00010745	dod-17	K10D11.1	183187_at
WBGene00010746	K10D11.2	K10D11.2	183442_at
WBGene00010747	K10D11.3	K10D11.3a	182480_at
WBGene00010748	K10D11.4	K10D11.4	183705_at
WBGene00010749	K10D11.5	K10D11.5	183324_at
WBGene00010750	K10D11.6	K10D11.6	183409_at
WBGene00019627	K10D2.1	K10D2.1a	181843_s_at
WBGene00019628	pup-2	K10D2.2	182477_s_at
WBGene00019628	pup-2	K10D2.2	175217_at
WBGene00019628	pup-2	K10D2.2	174136_s_at
WBGene00019628	pup-2	K10D2.2	182476_at
WBGene00019629	cid-1	K10D2.3	174130_at
WBGene00019629	cid-1	K10D2.3	179905_at
WBGene00019630	emb-1	K10D2.4	187482_at
WBGene00019631	K10D2.5	K10D2.5	187401_at
WBGene00001262	emb-8	K10D2.6	190383_s_at
WBGene00019633	K10D2.7	K10D2.7	187430_at
WBGene00001614	glr-3	K10D3.1	189617_at
WBGene00006753	unc-14	K10D3.2	175683_s_at
WBGene00006753	unc-14	K10D3.2	188044_s_at
WBGene00006394	taf-11.2	K10D3.3	192267_at
WBGene00010738	K10D3.4	K10D3.4	173944_at
WBGene00010738	K10D3.4	K10D3.4	193156_s_at
WBGene00010741	lgc-49	K10D6.1	191076_s_at
WBGene00010742	K10D6.2	K10D6.2a	171905_x_at
WBGene00010742	K10D6.2	K10D6.2a	182010_s_at
WBGene00010742	K10D6.2	K10D6.2a	172422_x_at
WBGene00010743	K10D6.3	K10D6.3a	178218_at
WBGene00010744	K10D6.4	K10D6.4a	174902_at
WBGene00010744	K10D6.4	K10D6.4a	178378_at
WBGene00004045	pll-1	K10F12.3a	185586_at
WBGene00004045	pll-1	K10F12.3a	189439_at
WBGene00019636	gsto-3	K10F12.4a	185815_at
WBGene00019638	K10F12.6	K10F12.6	185776_at
NA	NA	K10G4.1	178764_at
WBGene00005794	srw-47 	K10G4.2	179379_at
WBGene00010752	K10G4.3	K10G4.3	179076_at
NA	NA	K10G4.4	179540_at
WBGene00010754	K10G4.5	K10G4.5	179512_at
WBGene00003017	lin-31	K10G6.1	175370_at
WBGene00003017	lin-31	K10G6.1	188600_at
WBGene00019640	dos-2	K10G6.2	180895_at
WBGene00004751	sea-2	K10G6.3a	174157_at
WBGene00004751	sea-2	K10G6.3a	180867_at
WBGene00019641	K10G6.4	K10G6.4	180459_s_at
WBGene00010755	vglu-2	K10G9.1	192656_s_at
WBGene00010756	K10G9.2	K10G9.2	177872_at
WBGene00010758	vnut-1	K10H10.1	192143_s_at
WBGene00010759	cysl-2	K10H10.2	188978_s_at
WBGene00000972	dhs-8	K10H10.3a	193543_at
WBGene00010760	K10H10.4	K10H10.4a	180514_at
WBGene00010761	K10H10.5	K10H10.5	180405_at
WBGene00010762	K10H10.6	K10H10.6	193601_at
WBGene00010763	K10H10.7	K10H10.7	180429_at
WBGene00010764	K10H10.9	K10H10.9	180384_at
WBGene00010766	K11B4.1	K11B4.1	178472_at
WBGene00010767	blos-9	K11B4.2	179067_at
WBGene00019642	K11C4.1	K11C4.1	192164_at
WBGene00019642	K11C4.1	K11C4.1	192165_s_at
WBGene00019643	K11C4.2	K11C4.2	183323_at
WBGene00006803	unc-70	K11C4.3a	175706_s_at
WBGene00006803	unc-70	K11C4.3a	190098_s_at
WBGene00006803	unc-70	K11C4.3a	175686_s_at
WBGene00003844	odc-1	K11C4.4	192924_s_at
NA	NA	K11C4.5	AFFX-r2-11687-3M_s_at
NA	NA	K11C4.5	AFFX-r2-11687-3_s_at
NA	NA	K11C4.5	AFFX-r2-11687-5M_s_at
NA	NA	K11C4.5	AFFX-r2-11687-5_s_at
WBGene00006801	unc-68	K11C4.5a	173827_at
WBGene00006801	unc-68	K11C4.5a	173828_s_at
WBGene00006801	unc-68	K11C4.5a	172119_at
WBGene00000862	cwp-4	K11D12.1	190271_at
WBGene00003374	mlk-1	K11D12.10a	173616_at
WBGene00003374	mlk-1	K11D12.10a	187082_s_at
WBGene00004136	pqn-51	K11D12.2	185179_s_at
WBGene00005655	srr-4	K11D12.3a	185864_at
WBGene00019644	cpt-4	K11D12.4	173238_s_at
WBGene00019644	cpt-4	K11D12.4	189736_s_at
WBGene00019645	swt-7	K11D12.5	185210_s_at
WBGene00019646	K11D12.6	K11D12.6	185144_at
WBGene00019647	K11D12.7	K11D12.7	186024_s_at
WBGene00019648	K11D12.8	K11D12.8	185130_at
WBGene00019649	K11D12.9	K11D12.9	190136_at
WBGene00010768	K11D2.1	K11D2.1	190526_at
WBGene00010769	asah-1	K11D2.2	191284_at
WBGene00006829	unc-101	K11D2.3a	175563_at
WBGene00006829	unc-101	K11D2.3a	193333_at
WBGene00006829	unc-101	K11D2.3a	193334_s_at
WBGene00010770	K11D2.4	K11D2.4a	192478_at
WBGene00002219	klp-7	K11D9.1a	190047_s_at
WBGene00004736	sca-1	K11D9.2a	174028_at
WBGene00004736	sca-1	K11D9.2a	174094_at
WBGene00004736	sca-1	K11D9.2a	188973_at
WBGene00004736	sca-1	K11D9.2a	188971_s_at
WBGene00010772	K11D9.3	K11D9.3	191725_s_at
WBGene00010773	K11E4.1	K11E4.1	179237_at
WBGene00010774	K11E4.2	K11E4.2	190223_at
WBGene00010775	poml-1	K11E4.3	179138_at
WBGene00010776	pix-1	K11E4.4a	175332_at
WBGene00010776	pix-1	K11E4.4a	174229_at
WBGene00010776	pix-1	K11E4.4a	190219_at
WBGene00003661	nhr-71	K11E4.5a	175725_at
WBGene00003661	nhr-71	K11E4.5a	193513_s_at
WBGene00006779	unc-43	K11E8.1a	175824_s_at
WBGene00006779	unc-43	K11E8.1a	175820_s_at
WBGene00006779	unc-43	K11E8.1a	175821_s_at
WBGene00006779	unc-43	K11E8.1a	172058_x_at
WBGene00006779	unc-43	K11E8.1a	173423_at
WBGene00006779	unc-43	K11E8.1a	193459_s_at
WBGene00006779	unc-43	K11E8.1a	193463_s_at
WBGene00006779	unc-43	K11E8.1a	187758_at
WBGene00006779	unc-43	K11E8.1a	187759_s_at
WBGene00003530	nas-11	K11G12.1a	186131_at
WBGene00000042	acr-2	K11G12.2	193868_at
WBGene00004877	smf-2	K11G12.3	193563_at
WBGene00004876	smf-1	K11G12.4a	193669_s_at
WBGene00019656	slc-25A10	K11G12.5	192003_s_at
WBGene00019657	K11G12.6	K11G12.6a	185840_at
WBGene00000043	acr-3	K11G12.7	193304_at
WBGene00019652	K11G9.1	K11G9.1	188497_at
WBGene00019653	K11G9.2	K11G9.2	188426_at
WBGene00019654	K11G9.3	K11G9.3	188425_at
WBGene00001210	egl-46	K11G9.4	174403_at
WBGene00001210	egl-46	K11G9.4	192272_at
WBGene00019655	K11G9.5	K11G9.5	173495_at
WBGene00019655	K11G9.5	K11G9.5	179733_s_at
WBGene00003473	mtl-1	K11G9.6	172744_at
WBGene00019658	K11H12.1	K11H12.1	190807_at
WBGene00004427	rpl-15	K11H12.2	173375_s_at
WBGene00004427	rpl-15	K11H12.2	191915_s_at
WBGene00019659	K11H12.3	K11H12.3	184310_at
WBGene00019660	K11H12.4	K11H12.4	184313_s_at
WBGene00019661	K11H12.5	K11H12.5	184511_at
WBGene00019662	K11H12.6	K11H12.6a	184418_at
WBGene00019663	K11H12.7	K11H12.7	184308_at
WBGene00019664	K11H12.8	K11H12.8a	184428_at
WBGene00019664	K11H12.8	K11H12.8a	184429_s_at
WBGene00019665	K11H12.9	K11H12.9a	189290_at
WBGene00010778	gpdh-2	K11H3.1a	173263_s_at
WBGene00010778	gpdh-2	K11H3.1a	192756_s_at
WBGene00010779	K11H3.2	K11H3.2	186705_at
WBGene00010780	K11H3.3	K11H3.3	192057_at
WBGene00185002	K11H3.8	K11H3.8a	186779_at
WBGene00019666	sago-1	K12B6.1	174327_at
WBGene00019666	sago-1	K12B6.1	183483_at
WBGene00019667	K12B6.2	K12B6.2	184133_at
WBGene00019668	fil-2	K12B6.3	183418_at
WBGene00019669	K12B6.4	K12B6.4	183773_at
WBGene00005640	srn-1	K12B6.5	190924_at
WBGene00019670	K12B6.6	K12B6.6	183523_at
NA	NA	K12B6.7	172414_x_at
WBGene00019672	K12B6.8	K12B6.8	184156_at
WBGene00019673	K12C11.1	K12C11.1	173514_s_at
WBGene00019673	K12C11.1	K12C11.1	176559_at
WBGene00004888	smo-1	K12C11.2	187669_at
WBGene00003400	dapk-1	K12C11.4	191597_at
WBGene00045053	K12C11.7	K12C11.7	184547_at
WBGene00010785	top-2	K12D12.1	190785_s_at
WBGene00003789	npp-3	K12D12.2	173366_s_at
WBGene00003789	npp-3	K12D12.2	182657_s_at
WBGene00000659	col-84	K12D12.3	189463_at
WBGene00010786	K12D12.4	K12D12.4a	182071_at
WBGene00010787	K12D12.5	K12D12.5	182219_at
WBGene00019675	K12D9.1	K12D9.1	180558_at
WBGene00005883	srw-136	K12D9.10	184793_at
WBGene00005882	srw-135	K12D9.11	185271_at
WBGene00077758	irld-12	K12D9.14	184800_at
WBGene00005868	srw-121	K12D9.3	180571_at
WBGene00005862	srw-115	K12D9.4	180163_at
WBGene00005867	srw-120	K12D9.5	180313_at
WBGene00005867	srw-120	K12D9.5	180153_s_at
NA	NA	K12D9.6	180623_at
WBGene00005866	srw-119	K12D9.7	180152_at
NA	NA	K12D9.8	180596_at
WBGene00005859	srw-112	K12D9.9	180156_at
WBGene00003515	myo-3	K12F2.1	191856_s_at
WBGene00006874	vab-8	K12F2.2a	182227_s_at
WBGene00006874	vab-8	K12F2.2a	192185_at
WBGene00010788	sulp-4	K12G11.1	190198_at
WBGene00010789	sulp-5	K12G11.2	190132_at
WBGene00010790	sodh-1	K12G11.3	190978_at
WBGene00010791	sodh-2	K12G11.4	190954_at
WBGene00005967	srx-76	K12G11.5	191452_at
WBGene00000448	pros-1	K12H4.1	176620_at
WBGene00019677	K12H4.2	K12H4.2	175986_at
WBGene00019678	K12H4.3	K12H4.3	176010_at
WBGene00019679	K12H4.4	K12H4.4	176964_at
WBGene00019680	K12H4.5	K12H4.5	175999_at
WBGene00019681	K12H4.6	K12H4.6	176078_at
WBGene00019682	K12H4.7	K12H4.7a	175962_s_at
WBGene00000939	dcr-1	K12H4.8	177140_s_at
WBGene00003709	nhr-119	K12H6.1	186564_at
WBGene00003709	nhr-119	K12H6.1	187893_s_at
WBGene00003709	nhr-119	K12H6.1	190018_at
WBGene00003709	nhr-119	K12H6.1	176194_at
WBGene00019690	set-13	K12H6.11	186402_at
WBGene00019691	K12H6.12	K12H6.12	185092_at
WBGene00019683	K12H6.2	K12H6.2	181724_at
WBGene00001507	fut-4	K12H6.3	181728_at
WBGene00019684	K12H6.4	K12H6.4	181654_at
WBGene00019685	K12H6.5	K12H6.5	181951_at
WBGene00019686	K12H6.6	K12H6.6a	173295_s_at
WBGene00019686	K12H6.6	K12H6.6a	181537_s_at
WBGene00019687	K12H6.7	K12H6.7	182007_at
WBGene00019688	K12H6.8	K12H6.8	183868_at
WBGene00019689	K12H6.9	K12H6.9	183774_s_at
NA	NA	L38424	AFFX-DapX-3_at
NA	NA	L38424	AFFX-DapX-5_at
NA	NA	L38424	AFFX-DapX-M_at
NA	NA	L38424	AFFX-r2-Bs-dap-3_at
NA	NA	L38424	AFFX-r2-Bs-dap-5_at
NA	NA	L38424	AFFX-r2-Bs-dap-M_at
WBGene00006606	tra-3	LLC1.1	173915_at
WBGene00006606	tra-3	LLC1.1	190890_s_at
WBGene00010793	LLC1.2	LLC1.2a	177374_at
WBGene00010794	dld-1	LLC1.3a	191848_at
WBGene00019692	M01A10.1	M01A10.1	190140_at
WBGene00006594	tom-1	M01A10.2a	186480_s_at
WBGene00019693	ostd-1	M01A10.3	184681_s_at
NA	NA	M01A10.4	172496_x_at
WBGene00000630	col-53	M01A12.1	188637_at
NA	NA	M01A12.2	172509_at
WBGene00010795	M01A8.1	M01A8.1a	187060_at
WBGene00010796	clip-1	M01A8.2a	173748_at
WBGene00010796	clip-1	M01A8.2a	189451_s_at
NA	NA	M01B12.1	172524_x_at
WBGene00000205	arx-7	M01B12.3	173552_s_at
WBGene00019697	M01B12.4	M01B12.4a	185376_s_at
WBGene00019698	riok-1	M01B12.5a	185637_at
WBGene00002211	kin-30	M01B2.1	193549_at
WBGene00010803	M01B2.10	M01B2.10	183505_at
WBGene00005106	srd-28	M01B2.2	178190_at
WBGene00005106	srd-28	M01B2.2	180908_s_at
WBGene00010797	srbc-75	M01B2.3	178081_at
WBGene00010798	srbc-76	M01B2.4	180585_s_at
WBGene00010798	srbc-76	M01B2.4	180584_at
WBGene00010798	srbc-76	M01B2.4	178445_at
WBGene00010799	chil-12	M01B2.6	191794_at
WBGene00010800	srsx-37	M01B2.7	193441_s_at
WBGene00010802	srsx-39	M01B2.9	193331_at
WBGene00010802	srsx-39	M01B2.9	193445_s_at
WBGene00006195	str-148	M01D1.1	191438_at
WBGene00019699	math-34	M01D1.2a	182277_at
WBGene00019699	math-34	M01D1.2a	182278_s_at
WBGene00019700	btb-11	M01D1.3	179924_at
NA	NA	M01D1.5	172387_x_at
NA	NA	M01D1.6	182666_at
WBGene00019702	fbxb-39	M01D1.7	181975_at
WBGene00019703	fbxb-41	M01D1.8	179967_s_at
WBGene00019704	fbxb-40	M01D1.9	179921_s_at
NA	NA	M01D7.1	182126_at
WBGene00004743	scm-1	M01D7.2	173458_at
WBGene00004743	scm-1	M01D7.2	176728_s_at
WBGene00006461	tag-96	M01D7.4	189072_at
WBGene00003750	nlp-12	M01D7.5	173242_s_at
WBGene00001309	emr-1	M01D7.6	173171_s_at
WBGene00001309	emr-1	M01D7.6	182202_at
WBGene00001196	egl-30	M01D7.7a	175597_at
WBGene00001196	egl-30	M01D7.7a	193593_s_at
WBGene00001063	dpy-1	M01E10.2a	184335_at
WBGene00019709	M01E10.3	M01E10.3	184337_at
WBGene00019710	M01E11.1	M01E11.1	184493_at
WBGene00019711	M01E11.2	M01E11.2	184941_at
WBGene00019712	rmh-1	M01E11.3	184520_at
WBGene00019713	pqn-52	M01E11.4a	173516_at
WBGene00019713	pqn-52	M01E11.4a	185517_at
WBGene00019713	pqn-52	M01E11.4a	186438_s_at
WBGene00000474	cey-3	M01E11.5	186460_s_at
WBGene00002225	klp-15	M01E11.6	188638_s_at
WBGene00006508	tns-1	M01E11.7a	188534_s_at
WBGene00010804	M01E5.1	M01E5.1	178250_at
WBGene00010805	M01E5.2	M01E5.2	189834_at
WBGene00010806	M01E5.3	M01E5.3a	178321_at
WBGene00010806	M01E5.3	M01E5.3a	174972_s_at
WBGene00010807	M01E5.4	M01E5.4	194193_x_at
WBGene00010807	M01E5.4	M01E5.4	178271_at
WBGene00006595	top-1	M01E5.5a	189853_s_at
WBGene00006595	top-1	M01E5.5a	174024_at
WBGene00010808	sepa-1	M01E5.6	178284_s_at
WBGene00001639	gly-14	M01F1.1	194036_s_at
WBGene00004428	rpl-16	M01F1.2	173269_s_at
WBGene00004428	rpl-16	M01F1.2	192155_s_at
WBGene00010809	M01F1.3	M01F1.3	190055_s_at
WBGene00010810	M01F1.4	M01F1.4a	177602_s_at
WBGene00010811	hmit-1.3	M01F1.5	190858_s_at
WBGene00010812	mrpl-35	M01F1.6	177394_at
WBGene00010813	pitp-1	M01F1.7	171750_x_at
WBGene00010813	pitp-1	M01F1.7	193989_at
WBGene00010814	M01F1.8	M01F1.8a	177664_s_at
WBGene00005526	sri-14	M01G12.1	185694_s_at
WBGene00010823	M01G12.10	M01G12.10	185597_at
NA	NA	M01G12.11	185191_s_at
WBGene00004509	rrf-2	M01G12.12	176778_s_at
WBGene00010825	M01G12.14	M01G12.14	185163_s_at
WBGene00010817	M01G12.2	M01G12.2	180350_s_at
NA	NA	M01G12.3	179839_at
WBGene00005858	srw-111	M01G12.4	180092_at
WBGene00005858	srw-111	M01G12.4	180093_s_at
WBGene00010820	M01G12.6	M01G12.6	179985_at
WBGene00010821	M01G12.7	M01G12.7	180004_at
WBGene00010822	M01G12.9	M01G12.9	179942_at
WBGene00019714	M01G4.1	M01G4.1	183915_at
WBGene00019715	M01G5.1	M01G5.1	182028_at
WBGene00019716	M01G5.3	M01G5.3	183578_at
WBGene00019716	M01G5.3	M01G5.3	184200_at
WBGene00004905	snf-6	M01G5.5	193076_at
WBGene00019717	trx-3	M01H9.1	184093_at
WBGene00019718	M01H9.2	M01H9.2	182891_at
WBGene00019719	M01H9.3	M01H9.3a	173682_at
WBGene00019719	M01H9.3	M01H9.3a	182846_s_at
WBGene00019720	M01H9.4	M01H9.4a	182941_at
WBGene00019722	M02A10.1	M02A10.1	185987_at
WBGene00002150	irk-2	M02A10.2a	187866_at
WBGene00004829	sli-1	M02A10.3a	175054_at
WBGene00004829	sli-1	M02A10.3a	192367_at
WBGene00005153	srf-3	M02B1.1a	191963_at
WBGene00010827	M02B1.2	M02B1.2	178232_at
WBGene00010828	M02B1.3	M02B1.3	175150_at
WBGene00010828	M02B1.3	M02B1.3	178747_at
WBGene00010829	M02B1.4	M02B1.4	178523_at
WBGene00019723	fbxc-47	M02B7.1	180416_at
WBGene00019724	M02B7.2	M02B7.2a	180279_at
WBGene00003884	osm-3	M02B7.3a	177371_s_at
WBGene00019725	algn-14	M02B7.4a	181013_at
WBGene00019726	bris-1	M02B7.5a	180232_at
WBGene00000287	cal-3	M02B7.6a	190642_s_at
WBGene00019727	zig-12	M02D8.1	183201_at
WBGene00019728	M02D8.2	M02D8.2	183531_at
WBGene00019729	M02D8.3	M02D8.3	173538_s_at
WBGene00019730	asns-2	M02D8.4a	190094_s_at
WBGene00019731	M02D8.5	M02D8.5	183367_at
WBGene00019733	M02E1.1	M02E1.1a	173069_at
WBGene00019733	M02E1.1	M02E1.1a	183767_at
WBGene00019734	M02E1.2	M02E1.2	174060_at
WBGene00019735	M02F4.1	M02F4.1	183098_at
WBGene00019736	M02F4.2	M02F4.2	183926_at
WBGene00019737	M02F4.3 	M02F4.3	174377_at
WBGene00019737	M02F4.3 	M02F4.3	183465_at
WBGene00019738	clec-265	M02F4.7	184035_at
WBGene00000175	aqp-7	M02F4.8	189807_at
NA	NA	M02F4.9	172143_x_at
WBGene00010830	M02G9.1	M02G9.1a	189891_at
WBGene00010831	M02G9.2	M02G9.2	178744_at
WBGene00010832	M02G9.3	M02G9.3	178406_at
WBGene00003689	nhr-99	M02H5.1	176003_at
WBGene00005257	srh-34	M02H5.10	187816_at
WBGene00005258	srh-35	M02H5.11	187817_at
WBGene00019745	srbc-57	M02H5.12	176358_at
WBGene00019740	srt-31	M02H5.2	176033_at
WBGene00019741	nhr-201	M02H5.3	175975_at
WBGene00019742	nhr-202	M02H5.4	176004_at
WBGene00019743	nhr-203	M02H5.5	176016_at
WBGene00003688	nhr-98	M02H5.6	175979_at
WBGene00003688	nhr-98	M02H5.6	175258_at
WBGene00003713	nhr-123	M02H5.7	175973_at
WBGene00019744	M02H5.8	M02H5.8	176002_at
WBGene00005256	srh-33	M02H5.9	187784_at
WBGene00006868	vab-1	M03A1.1a	175372_s_at
WBGene00006868	vab-1	M03A1.1a	193384_at
NA	NA	M03A1.4	172676_x_at
NA	NA	M03A1.4	172750_x_at
NA	NA	M03A1.5	172677_x_at
NA	NA	M03A1.5	172751_x_at
WBGene00019747	ipla-1	M03A1.6a	174530_at
WBGene00019747	ipla-1	M03A1.6a	181251_at
WBGene00000928	dao-2	M03A1.7	180375_at
WBGene00000928	dao-2	M03A1.7	180376_s_at
WBGene00000991	dhs-28	M03A8.1	171926_x_at
WBGene00000991	dhs-28	M03A8.1	193919_at
WBGene00019748	atg-2	M03A8.2	182332_at
WBGene00019749	M03A8.3	M03A8.3	175140_at
WBGene00019749	M03A8.3	M03A8.3	182583_at
 WBGene00001572	gei-15 	M03A8.4	188138_s_at
WBGene00010833	M03B6.1	M03B6.1	179240_at
WBGene00010834	mct-3	M03B6.2	192160_s_at
WBGene00010835	M03B6.3	M03B6.3	179034_s_at
WBGene00010836	M03B6.4	M03B6.4a	179179_at
WBGene00010838	M03C11.1	M03C11.1	173143_s_at
WBGene00010838	M03C11.1	M03C11.1	191982_s_at
WBGene00010839	chl-1	M03C11.2	173362_s_at
WBGene00010839	chl-1	M03C11.2	188984_s_at
WBGene00010840	M03C11.3	M03C11.3a	183293_at
WBGene00044069	hat-1	M03C11.4	183969_at
WBGene00010842	ymel-1	M03C11.5	193744_s_at
WBGene00010843	M03C11.6	M03C11.6	183761_at
WBGene00010844	prp-3	M03C11.7	183681_s_at
WBGene00010845	M03C11.8	M03C11.8	174682_at
WBGene00010845	M03C11.8	M03C11.8	188471_at
WBGene00006974	zen-4	M03D4.1a	174527_at
WBGene00006974	zen-4	M03D4.1a	192303_s_at
WBGene00019750	M03D4.3	M03D4.3	172447_at
WBGene00019751	M03D4.4	M03D4.4a	189986_at
NA	NA	M03D4.6	183552_s_at
WBGene00019753	M03E7.1	M03E7.1	181471_at
WBGene00019754	M03E7.2	M03E7.2	181683_at
WBGene00019755	M03E7.3	M03E7.3	180403_at
WBGene00019756	M03E7.4	M03E7.4	177352_at
WBGene00019756	M03E7.4	M03E7.4	191825_at
WBGene00019757	memb-2	M03E7.5	181506_at
NA	NA	M03F4.1	181160_at
WBGene00000066	ACT-4	M03F4.2a	174795_at
WBGene00006475	tyra-3	M03F4.3a	191388_at
WBGene00019758	M03F4.4	M03F4.4	180697_at
WBGene00019759	M03F4.6	M03F4.6	174254_at
WBGene00019759	M03F4.6	M03F4.6	181713_s_at
WBGene00019759	M03F4.6	M03F4.6	181744_at
WBGene00019759	M03F4.6	M03F4.6	180978_at
WBGene00019760	calu-1	M03F4.7a	171966_x_at
WBGene00019760	calu-1	M03F4.7a	190667_s_at
WBGene00019761	M03F8.1	M03F8.1	184106_at
WBGene00004206	pst-1	M03F8.2a	174262_at
WBGene00004206	pst-1	M03F8.2a	183424_at
WBGene00019762	M03F8.3	M03F8.3a	184122_at
WBGene00019763	galt-1	M03F8.4	183433_at
WBGene00019764	M03F8.5	M03F8.5	183497_at
WBGene00019765	M03F8.6	M03F8.6	184092_at
WBGene00003218	mep-1	M04B2.1	174662_at
WBGene00003218	mep-1	M04B2.1	191958_at
WBGene00010846	M04B2.2	M04B2.2	177984_at
WBGene00001585	gfl-1	M04B2.3	190531_at
WBGene00010847	M04B2.4	M04B2.4	178019_s_at
WBGene00006678	twk-25	M04B2.5a	192760_at
WBGene00010850	M04C3.1	M04C3.1a	179566_s_at
WBGene00010850	M04C3.1	M04C3.1a	179477_at
WBGene00010851	M04C3.2	M04C3.2a	179422_s_at
WBGene00001677	gpa-15	M04C7.1	193541_at
NA	NA	M04C7.2	172847_x_at
WBGene00010854	M04C7.3	M04C7.3	179186_at
WBGene00010856	M04C9.1	M04C9.1a	178602_at
WBGene00010857	M04C9.2	M04C9.2	172188_x_at
WBGene00010858	M04C9.3	M04C9.3a	178283_at
WBGene00010859	M04C9.4	M04C9.4	178680_at
WBGene00001121	dyf-5	M04C9.5a	193487_at
WBGene00077770	M04D5.3	M04D5.3	178794_at
WBGene00002104	ins-21	M04D8.1	188457_at
WBGene00002105	ins-22	M04D8.2	188522_at
WBGene00002106	ins-23	M04D8.3	188478_at
WBGene00010862	M04D8.4	M04D8.4	177837_at
WBGene00010863	M04D8.5	M04D8.5	178105_at
WBGene00010864	xbx-3	M04D8.6	178171_at
WBGene00010865	M04D8.7	M04D8.7	178074_at
WBGene00019767	rpa-2	M04F3.1	176701_at
WBGene00019768	M04F3.2	M04F3.2	176740_at
WBGene00019768	M04F3.2	M04F3.2	186014_at
WBGene00019769	M04F3.3	M04F3.3	174278_s_at
WBGene00019769	M04F3.3	M04F3.3	192187_s_at
WBGene00019770	M04F3.4	M04F3.4a	188979_at
WBGene00019771	M04F3.5	M04F3.5	176738_s_at
WBGene00010867	tag-260	M04G12.1a	174221_at
WBGene00010867	tag-260	M04G12.1a	185893_s_at
